"Reference:,""e1029094-a""";;;;
"Date:,""Fri Jul 20 15:37:21 GMT+200 2018""";;;;
"Generated by:,""Eurocircuits PCBA Visualizer""";;;;

Reference designators;Quantity;MPN;Manufacturer;Description
D6N, D6P, D6P1, D6P2;4;BAV3004W-7-F;Diode Inc;Diode Standard 300V 225mA (DC) Surface Mount SOD-123
F1;1;0805L100WR;Littelfuse;Polymeric PTC Resettable Fuse 6V 1A Ih Surface Mount 0805 (2012 Metric), Concave
ZD1, ZD3;2;KDZLVTFTR150;ROHM Semiconductor;Zener Diode 150V 1W  Surface Mount SOD-123FL
U13;1;LT3484EDCB-1#TRMPBF;Linear Technology/Analog Devices;Photoflash Capacitor Charger PMIC 6-DFN (2x3)
X6;1;9-215464-0;TE Connectivity;"Connector Header Through Hole 20 position 0.100"" (2.54mm)"
X4;1;7-215464-8;TE Connectivity;"Connector Header Through Hole 8 position 0.100"" (2.54mm)"
IC1;1;OPA340NA/3K;Texas Instruments;General Purpose Amplifier 1 Circuit Rail-to-Rail SOT-23-5
PMOS1;1;SIS406DN-T1-GE3;Vishay;N-Channel MOSFET 30V 9A (Ta) 1.5W (Ta) Surface Mount PowerPAK® 1212-8
IC17;1;TPS60400DBVR;Texas Instruments;IC, Unregulated 60mA Charge Pump Voltage Inverter
U3;1;TPS61020DRCRG4;Texas Instrument;DC-DC Switching Boost Step Up Regulator, Adjustable, 900mV-6.5Vin, 1.8V-5.5Vout, 200mAout, SON-10
D21;1;ZHCS400;Diode Inc;Diode Schottky 40V 400mA (DC) Surface Mount SOD-323
T4;1;ZVN4525ZTA;Diode Inc;N-Channel MOSFET 250V 240mA (Ta) 1.2W (Ta) Surface Mount SOT-89-3
T25;1;ZVP4525ZTA;Diodes Incorporated;P-Channel MOSFET 250V 205mA (Ta) 1.2W (Ta) Surface Mount SOT-89-3
